-4.941,-1.1281
-5.687,0.81281
-4.7137,4.0331
-5.0488,8.2606
-5.3343,9.215
-5.3057,10.936
-4.4834,12.906
-5.1572,14.135
-4.3606,-3.4183
-4.3145,-3.333
-4.1436,-0.84249
-3.3154,0.18059
-5.3037,7.1277
-3.2411,8.2052
-4.0221,13.086
-3.7489,14.246
-2.4334,-3.2727
-3.407,-1.6659
-2.9754,-0.41983
-3.5675,1.386
-3.108,1.9274
-3.1279,2.6267
-3.2791,4.2135
-3.4443,4.9221
-2.9373,6.1464
-3.7854,6.9193
-3.3195,7.7832
-2.5239,9.2736
-2.1536,15.13
-1.5354,-4.1535
-1.7308,-1.8734
-0.9391,-0.27882
-1.98,5.2804
-2.0473,9.3674
-1.6033,11.983
-1.7713,14.21
-1.3631,15.484
-0.81244,-5.2294
-1.1785,-0.28532
-0.73458,0.76376
-0.46322,2.8664
-1.268,7.2252
-1.0473,12.362
-1.3288,13.782
-0.089366,-3.7552
0.72984,-2.1982
-0.008475,-0.40922
-0.07088,8.0711
0.45028,9.1745
-0.48784,10.13
0.34868,10.691
0.43965,13.072
-0.83141,13.931
0.70889,14.99
0.96217,-4.5845
0.55037,-4.1434
0.69691,0.36978
1.2889,5.1831
0.66262,5.6558
0.8033,8.116
0.23262,10.321
0.79588,10.991
1.5063,14.416
0.72942,15.223
1.5638,-3.8715
2.6897,-2.8794
0.9215,-1.5995
2.4822,7.2674
1.6843,12.348
1.4112,12.745
1.6807,14.678
2.4942,-3.9076
2.3778,-3.0762
2.0786,-2.058
3.208,0.20784
3.7478,0.8077
2.9956,2.3316
4.2399,4.7704
4.1059,6.9752
3.1975,7.8774
3.8358,8.9943
2.8191,9.7999
3.463,10.816
4.2021,11.488
3.7033,13.313
3.1032,-5.0699
4.3704,-3.9759
3.8996,-2.7896
4.0624,2.0103
4.349,3.0616
4.4604,5.0345
3.5172,5.9858
3.792,6.9186
4.5595,8.3865
3.6697,10.06
3.3942,11.29
4.0617,13.359
4.5276,15.241
5.6258,-4.7942
4.5286,-3.7602
6.3346,-2.1465
5.6745,10.066
4.5397,11.34
5.7483,12.289
5.816,12.673
4.4335,15.339
5.6368,-4.9821
6.2526,-3.6309
5.0174,-2.2569
6.1318,1.5691
6.8102,7.1946
5.6898,13.262
6.5743,15.086
7.7249,-4.28
6.765,-2.6163
6.3997,4.1882
7.2662,6.2855
6.8295,6.8689
7.2175,8.4724
6.7961,10.379
7.9096,-2.1258
7.9787,-0.84663
8.3451,3.2663
7.8389,12.305
7.873,13.031
9.195,-3.2782
9.2383,-1.9899
7.8319,-0.41175
8.3515,2.6391
8.5132,9.8746
9.2297,12.195
9.3071,13.155
8.7831,13.858
9.6586,14.687
9.7486,-3.2802
10.033,-1.119
10.731,1.2097
9.6433,5.999
10.747,6.6917
11.058,8.0841
9.6505,10.723
10.226,13.004
9.4766,13.937
9.909,15.216
10.491,-5.1402
11.015,-0.97641
11.646,2.0994
11.139,3.0364
11.424,3.9114
10.398,5.9541
10.803,7.0584
10.292,10.122
11.733,11.729
9.9594,12.9
11.47,14.229
10.697,14.861
12.097,-3.7387
12.734,-2.5394
11.606,-1.3652
12.435,1.5772
11.922,3.346
11.372,5.0825
11.521,7.7423
12.754,10.28
12.276,13.735
13.013,-2.5071
13.481,-2.3383
12.328,-0.24617
13.404,5.1118
12.997,9.5114
12.661,12.8
12.412,13.713
13.449,15.165
14.152,-4.8526
13.316,-3.8712
13.884,-3.1378
14.096,-0.73184
13.581,-0.12452
14.602,1.9196
14.276,2.7999
14.599,7.8516
14.101,9.4303
14.905,10.113
14.07,15.166
14.501,-2.9052
15.187,-2.2716
15.777,0.64631
14.789,3.0268
15.136,4.6537
15.188,9.4256
14.767,11.861
15.122,13.408
